1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,621,2495,2217,1870,951,1286,241,1869,1828,2830,2492,2825,1855,1859
1,1865,1868,1867,3013,2798,2448,2446,1372,458,2593,589,2429,1853,1864
2,5,2980,1627,2971,2076,1634,2554,2547,1704,27,2115,1687,49,2127
3,2145,963,1012,488,2209,2656,636,694,1889,682,1782,801,2263,714
4,1853,67,2401,619,852,2404,9,590,275,559,1277,1374,2593,467
5,2,27,1704,824,1634,1687,1627,2115,2554,2079,2246,63,2036,1778
6,7,457,2404,2429,1364,1853,458,2403,2428,2278,1865,2395,2402,2805
7,6,457,18,2278,119,2430,2805,313,619,458,2404,314,2402,2505
8,15,9,1192,589,1364,2397,2217,1868,0,119,2401,2821,2994,2278
9,2397,2401,2821,119,2217,1853,2404,2828,2532,1868,2402,108,458,2824
10,2431,2632,2430,2407,2405,2397,2278,2399,2434,2402,2505,2403,312,1542
11,18,1327,585,15,828,2427,1542,1077,620,1184,12,1288,2431,2505
12,1077,2430,2505,2396,2427,2632,2431,828,469,2504,2398,312,853,620
13,46,2807,76,2819,481,52,2821,75,483,2062,19,1875,24,3018
14,368,2806,315,1328,827,852,1276,903,835,611,313,2805,1383,1691
15,589,11,8,2798,7,1824,1868,2278,1364,18,457,2491,119,1327
16,39,59,1723,65,51,96,1319,633,670,746,1504,786,1001,1316
17,1869,2495,2449,1286,2492,1855,134,2409,1872,1859,2494,2410,2830,241
18,11,7,2278,2427,2430,2505,620,1347,2504,12,828,1184,1077,2402
19,75,41,721,480,472,1633,831,671,481,1128,669,40,660,34
20,902,2753,491,2696,2762,981,2930,346,1888,1501,2102,2279,489,1955
21,2436,2218,2450,2261,700,2432,2533,2657,2456,1898,2742,2738,1424,2534
22,1889,62,34,1298,1704,2121,63,721,1995,25,2023,2022,57,2068
23,59,3017,95,944,277,2061,498,25,77,43,2160,276,1597,821
24,118,1332,1832,3018,76,2565,568,44,120,364,660,28,1348,482
25,36,2061,77,2225,26,27,33,62,51,2990,1812,2160,543,92
26,2225,2990,27,543,33,36,1848,92,25,32,1873,55,2117,385
27,33,2225,26,2061,824,2544,5,25,2990,2160,2117,2239,1634,2036
28,34,118,53,1795,833,1677,213,2776,62,606,40,2135,479,22
29,442,2497,1521,3010,2561,1520,2782,258,1524,1133,427,2525,274,844
30,2282,59,3009,1674,838,1825,361,1617,278,398,1433,1316,572,1589
31,80,147,1264,1798,2040,2671,2247,2245,153,555,1845,1996,2952,2186
32,33,399,26,2104,2517,2629,1873,1778,27,2544,391,55,845,1687
33,2990,27,824,32,26,2225,1781,25,2104,92,1873,2061,2160,2079
34,57,62,40,2068,614,53,1926,54,669,28,2160,63,213,699
35,57,25,813,53,2160,2068,2487,36,920,54,62,2061,931,1775
36,25,2061,2225,2990,26,543,1837,3015,2160,931,1880,2814,1848,92
37,433,590,1580,1354,234,1517,1759,452,272,770,356,264,364,841
38,54,57,1876,1938,2498,1400,56,53,832,2234,931,2209,1775,920
39,51,96,59,49,2990,1873,33,2253,495,543,27,65,3009,544
40,34,53,54,62,57,606,614,669,28,35,118,823,2135,1773
41,1633,83,2125,19,478,42,1332,1374,1613,2526,118,660,594,225
42,599,2060,1153,788,212,2566,2571,2779,44,1376,1292,473,2564,2529
43,63,5,1704,27,62,2,2036,944,25,1636,34,23,53,22
44,83,3004,1906,2479,52,3007,24,212,3010,1348,58,3001,28,557
45,84,86,197,52,68,46,364,47,1969,417,874,28,395,1879
46,13,480,28,738,660,3008,52,76,483,2807,695,671,3018,1875
47,86,84,463,244,1414,48,418,467,45,1353,2529,1142,1767,1392
48,2479,2779,463,244,47,418,58,2529,3001,2506,3015,84,83,3007
49,39,59,96,51,65,2,27,248,32,5,2629,1825,649,1627
50,53,62,34,28,2135,22,820,2520,823,40,118,606,1704,63
51,39,25,96,36,77,59,2061,49,495,543,27,2990,62,65
52,76,44,479,2560,557,24,28,51,50,1847,3018,62,2224,2479
53,57,2061,62,54,2160,40,25,34,1812,35,2135,63,920,78
54,38,57,53,1400,1938,40,614,34,1876,2498,932,35,931,56
55,543,1624,26,1617,1873,2988,1810,2248,32,399,2990,544,545,3015
56,2234,2229,2452,2209,2221,1876,2498,2214,817,800,614,681,2094,2223
57,1775,34,2068,53,2160,35,54,920,869,1400,813,823,614,38
58,3007,3015,2062,1849,931,1379,244,2238,36,3010,1348,932,1832,1938
59,39,49,96,23,51,62,34,1873,30,2160,55,27,2,1825
60,1428,692,1662,1647,2258,1599,1168,2550,3022,2554,1363,2140,2476,2481
61,70,260,1682,2562,746,2687,1829,55,281,1247,1336,1692,1538,1604
62,63,25,2061,34,2160,53,36,27,820,655,2225,57,832,823
63,967,62,27,821,1597,2061,5,1812,2160,2211,25,1795,1704,53
64,1910,2051,1888,1479,2691,2655,2759,2468,2472,2058,1202,721,1830,486
65,27,49,39,824,2544,96,777,2079,1891,5,33,51,2553,725
66,561,726,2761,364,742,559,1582,1332,1025,3001,738,371,396,1491
67,68,2393,1506,3004,2479,1853,2564,1142,1520,1134,1539,1392,1357,279
68,67,84,45,86,353,797,427,1517,1142,442,1356,1536,197,1853
69,70,61,47,2687,86,219,295,84,45,2653,2686,377,154,68
70,61,69,377,2687,1247,451,295,179,2089,1035,2686,47,296,86
71,1720,1169,414,1464,999,2559,2597,752,1465,1470,731,1495,2758,337
72,813,1643,2068,756,1655,823,2486,963,2656,1446,2759,485,682,2225
73,2255,733,730,1889,2121,2979,2948,2212,1643,667,826,825,56,819
74,986,2555,2151,2052,1090,2999,1593,1093,964,1822,2016,1462,278,2076
75,565,2062,1849,1773,1780,481,2085,1782,932,2067,1938,54,695,2565
76,3018,52,702,479,1875,2062,2224,24,1348,933,2560,557,1836,2128
77,25,1812,2061,2179,36,821,498,27,51,646,63,1794,1880,2814
78,53,54,1896,57,1400,832,40,933,2135,920,817,35,38,1876
79,637,2990,495,33,26,92,384,25,27,2225,36,1803,462,2240
80,31,1264,147,2510,2001,1798,153,1100,2040,407,2671,2512,1182,2186
81,2277,904,941,2607,1804,901,1534,1214,935,489,1101,2507,612,982
82,1510,902,122,2709,1455,2091,1453,326,369,1988,2245,977,2118,2935
83,44,2479,3007,3001,2526,3004,58,2125,1849,2997,788,2571,1348,2775
84,86,45,47,68,334,395,48,197,1356,1879,2813,3010,58,434
85,42,244,463,2529,48,2060,1355,467,418,2779,68,67,1142,1354
86,84,47,45,3009,1353,2529,58,328,1767,2506,197,838,68,1035
87,86,68,84,1790,1709,435,434,1879,2813,1579,395,841,45,1393
88,90,732,2049,2792,1404,2015,2043,1980,1363,1181,2930,2055,1173,2171
89,849,366,384,2506,2231,2248,398,2988,276,2219,1028,361,1395,2978
90,2033,2015,2256,2037,732,88,2038,1363,2915,1181,2792,1279,2785,1988
91,2639,94,864,567,1959,348,1785,1197,1968,1439,1933,1967,1284,2216
92,543,2990,637,2225,26,33,2988,2061,2240,36,25,1848,1781,2024
93,900,2040,2001,2245,2247,1534,284,1958,1264,285,850,147,407,928
94,864,1785,567,1022,645,489,1245,348,570,1933,1805,935,1968,2090
95,944,23,96,2061,27,1873,277,25,2544,2388,922,1880,2814,495
96,39,51,49,59,25,27,95,65,55,33,2253,2990,944,23
97,2924,1363,2726,2789,1324,271,860,2594,1027,908,2025,2037,905,1121
98,96,855,572,1841,766,2978,1833,1036,2086,2543,824,762,385,2961
99,892,142,2008,1183,1074,2034,1991,1243,143,2500,2438,2287,1422,1402
100,2615,357,2204,248,2562,1696,1180,243,1605,1658,1294,273,649,1626
101,2610,1241,1766,2635,718,1062,2700,2654,2408,2192,1420,1985,900,292
102,949,2404,2491,538,520,1277,2400,2427,314,521,2278,2524,619,119
103,1613,844,606,1773,2565,952,721,2520,54,481,932,3007,1832,669
104,1155,1394,2511,2509,1792,1320,1793,1826,2531,578,3020,1369,1358,591
105,956,682,710,694,460,2749,970,801,714,2263,2067,2926,971,125
106,2431,2632,853,2396,2398,312,469,2402,2407,1328,584,10,2505,2405
107,1822,221,2914,1707,1989,1999,1370,1606,3022,1601,1715,1655,1109,2739
108,852,2402,9,921,2401,2397,2593,2403,119,2278,1277,1853,2532,0
109,1890,2753,700,2264,1680,866,854,2123,485,507,870,910,2119,2742
110,2260,960,487,1963,2187,2249,1955,781,1890,739,2103,2222,485,490
111,1942,764,2102,2759,679,491,825,2057,1965,2691,2255,733,1708,963
112,1071,1384,2688,176,2187,235,1484,2678,110,1053,196,1330,2583,1200
113,738,2159,2241,778,2761,568,1969,135,2147,1588,1948,1698,24,671
114,1340,2653,176,1909,1105,161,218,228,376,2703,419,778,181,2574
115,169,1256,2727,2630,287,221,2575,2543,2998,121,1499,749,1190,1718
